time,joy_delta,joy_speed,lqg_delta,lqg_speed,lqg_e_cg,lqg_e_cg_dot,lqg_theta_e,lqg_theta_e_dot,lqg_e_cg_hat,lqg_e_cg_dot_hat,lqg_theta_e_hat,lqg_theta_e_dot_hat,yaw,yaw_rate,vx,vy
57.987,0.0,0.0,0.348,0.363,0.116,-0.033,-0.336,5.918,0.109,-0.041,-0.344,-0.036,1.098,-0.01,0.1,0.0
58.024,0.0,0.0,0.377,0.363,0.129,-0.033,-0.336,0.0,0.109,-0.039,-0.346,-0.024,1.097,-0.01,0.1,0.0
58.055,0.0,0.0,0.375,0.363,0.129,-0.033,-0.336,0.0,0.115,-0.036,-0.346,-0.013,1.083,-0.0,0.1,0.0
58.147,0.0,0.0,0.368,0.363,0.132,-0.062,-0.668,-6.643,0.119,-0.035,-0.346,-0.005,1.07,-0.0,0.1,0.0
58.215,0.0,0.0,0.362,0.363,0.107,-0.035,-0.359,6.172,0.122,-0.039,-0.367,-0.014,1.085,0.0,0.1,0.0
58.291,0.0,0.0,0.39,0.363,0.107,-0.035,-0.359,0.0,0.112,-0.039,-0.368,-0.012,1.073,0.0,0.1,0.0
58.338,0.0,0.0,0.396,0.363,0.116,-0.061,-0.653,-5.869,0.107,-0.039,-0.369,-0.009,1.068,-0.0,0.1,0.0
58.381,0.0,0.0,0.398,0.363,0.116,-0.061,-0.653,0.0,0.108,-0.042,-0.388,-0.016,1.071,-0.0,0.1,0.0
58.481,0.0,0.0,0.423,0.363,0.112,-0.033,-0.336,6.341,0.108,-0.044,-0.406,-0.021,1.09,-0.01,0.1,0.0
58.52,0.0,0.0,0.447,0.363,0.11,-0.036,-0.371,-0.705,0.106,-0.042,-0.403,-0.011,1.1,-0.01,0.1,0.0
58.599,0.0,0.0,0.44,0.363,0.11,-0.036,-0.37,0.026,0.105,-0.041,-0.401,-0.005,1.097,-0.0,0.1,0.0
58.638,0.0,0.0,0.437,0.363,0.11,-0.036,-0.37,0.0,0.104,-0.04,-0.399,-0.001,1.088,0.0,0.1,0.0
58.67,0.0,0.0,0.433,0.363,0.11,-0.036,-0.37,0.0,0.104,-0.039,-0.397,0.002,1.087,0.0,0.1,0.0
58.714,0.0,0.0,0.429,0.363,0.117,-0.06,-0.645,-5.502,0.104,-0.038,-0.394,0.004,1.097,-0.0,0.1,0.0
58.746,0.0,0.0,0.425,0.363,0.117,-0.06,-0.645,0.0,0.107,-0.042,-0.41,-0.004,1.084,-0.01,0.1,0.0
58.805,0.0,0.0,0.446,0.363,0.117,-0.06,-0.645,0.0,0.108,-0.044,-0.425,-0.01,1.09,-0.01,0.1,0.0
58.887,0.0,0.0,0.467,0.363,0.135,-0.033,-0.336,6.167,0.109,-0.047,-0.44,-0.014,1.079,-0.01,0.1,0.0
58.918,0.0,0.0,0.486,0.363,0.079,0.078,0.902,24.76,0.117,-0.043,-0.433,-0.001,1.088,-0.0,0.1,0.0
58.941,0.0,0.0,0.467,0.363,0.079,0.078,0.902,0.0,0.097,-0.025,-0.346,0.048,1.089,-0.0,0.1,0.0
59.019,0.0,0.0,0.352,0.363,0.104,-0.036,-0.371,-25.45,0.088,-0.01,-0.26,0.083,1.097,0.01,0.1,0.0
59.06,0.0,0.0,0.239,0.363,0.104,-0.036,-0.371,0.0,0.094,-0.015,-0.26,0.059,1.086,-0.0,0.1,0.0
59.117,0.0,0.0,0.245,0.363,0.143,-0.062,-0.668,-5.933,0.097,-0.019,-0.262,0.04,1.097,-0.0,0.1,0.0
59.157,0.0,0.0,0.254,0.363,0.143,-0.062,-0.668,0.0,0.117,-0.024,-0.283,0.02,1.085,-0.01,0.1,0.0
59.262,0.0,0.0,0.278,0.363,0.143,-0.062,-0.668,0.0,0.127,-0.03,-0.306,0.004,1.082,-0.01,0.1,0.0
59.319,0.0,0.0,0.306,0.363,0.108,-0.036,-0.369,5.973,0.132,-0.034,-0.328,-0.008,1.081,-0.01,0.1,0.0
59.36,0.0,0.0,0.337,0.363,0.108,-0.036,-0.369,0.0,0.118,-0.036,-0.333,-0.011,1.073,0.01,0.1,0.0
59.469,0.0,0.0,0.35,0.363,0.096,-0.032,-0.326,0.855,0.111,-0.036,-0.337,-0.011,1.081,-0.01,0.1,0.0
59.513,0.0,0.0,0.358,0.363,0.096,-0.032,-0.326,0.0,0.101,-0.036,-0.338,-0.01,1.097,-0.0,0.1,0.0
59.542,0.0,0.0,0.364,0.363,0.1,-0.034,-0.35,-0.48,0.096,-0.035,-0.338,-0.008,1.084,-0.01,0.1,0.0
59.622,0.0,0.0,0.366,0.363,0.109,-0.032,-0.323,0.541,0.095,-0.035,-0.339,-0.005,1.091,-0.0,0.1,0.0
59.701,0.0,0.0,0.366,0.363,0.109,-0.032,-0.323,0.0,0.099,-0.034,-0.338,-0.0,1.105,-0.0,0.1,0.0
59.757,0.0,0.0,0.361,0.363,0.106,-0.035,-0.356,-0.665,0.101,-0.033,-0.336,0.003,1.093,-0.0,0.1,0.0
59.818,0.0,0.0,0.357,0.363,0.133,-0.033,-0.336,0.4,0.101,-0.033,-0.337,0.003,1.077,-0.0,0.1,0.0
59.858,0.0,0.0,0.358,0.363,0.133,-0.033,-0.336,0.0,0.113,-0.031,-0.335,0.008,1.066,-0.01,0.1,0.0
59.978,0.0,0.0,0.347,0.363,0.121,-0.06,-0.639,-6.051,0.12,-0.031,-0.333,0.01,1.1,-0.0,0.1,0.0
60.017,0.0,0.0,0.34,0.363,0.121,-0.06,-0.639,0.0,0.118,-0.036,-0.353,-0.004,1.098,-0.0,0.1,0.0
60.052,0.0,0.0,0.371,0.363,0.121,-0.06,-0.639,0.0,0.116,-0.04,-0.372,-0.014,1.099,0.0,0.1,0.0
60.116,0.0,0.0,0.399,0.363,0.112,-0.032,-0.327,6.24,0.115,-0.043,-0.39,-0.02,1.099,0.0,0.1,0.0
60.158,0.0,0.0,0.425,0.363,0.112,-0.032,-0.327,0.0,0.111,-0.041,-0.388,-0.012,1.093,-0.01,0.1,0.0
60.255,0.0,0.0,0.42,0.363,0.114,-0.033,-0.336,-0.174,0.108,-0.039,-0.384,-0.005,1.084,-0.0,0.1,0.0
60.344,0.0,0.0,0.415,0.363,0.115,-0.031,-0.312,0.474,0.108,-0.038,-0.381,-0.0,1.082,-0.0,0.1,0.0
60.374,0.0,0.0,0.409,0.363,0.115,-0.031,-0.312,0.0,0.108,-0.037,-0.376,0.004,1.087,0.0,0.1,0.0
60.44,0.0,0.0,0.401,0.363,0.105,-0.033,-0.338,-0.531,0.108,-0.035,-0.371,0.008,1.107,0.0,0.1,0.0
60.48,0.0,0.0,0.394,0.363,0.105,-0.033,-0.338,0.0,0.104,-0.036,-0.368,0.007,1.123,-0.01,0.1,0.0
60.523,0.0,0.0,0.393,0.363,0.131,-0.061,-0.653,-6.284,0.102,-0.035,-0.366,0.007,1.115,-0.0,0.1,0.0
60.564,0.0,0.0,0.391,0.363,0.131,-0.061,-0.653,0.0,0.113,-0.038,-0.383,-0.001,1.107,-0.01,0.1,0.0
60.606,0.0,0.0,0.409,0.363,0.122,-0.035,-0.356,5.937,0.118,-0.041,-0.4,-0.008,1.122,0.0,0.1,0.0
60.689,0.0,0.0,0.43,0.363,0.122,-0.035,-0.356,0.0,0.117,-0.04,-0.397,-0.003,1.122,0.0,0.1,0.0
60.727,0.0,0.0,0.425,0.363,0.115,-0.058,-0.616,-5.2,0.116,-0.039,-0.394,0.001,1.119,0.0,0.1,0.0
60.761,0.0,0.0,0.42,0.363,0.115,-0.058,-0.616,0.0,0.112,-0.042,-0.409,-0.008,1.108,-0.0,0.1,0.0
60.795,0.0,0.0,0.444,0.363,0.115,-0.058,-0.616,0.0,0.11,-0.045,-0.423,-0.013,1.12,-0.0,0.1,0.0
60.902,0.0,0.0,0.464,0.363,0.115,-0.058,-0.616,0.0,0.109,-0.047,-0.437,-0.016,1.112,-0.01,0.1,0.0
60.933,0.0,0.0,0.482,0.363,0.102,-0.036,-0.37,4.925,0.108,-0.048,-0.449,-0.017,1.11,-0.01,0.1,0.0
60.977,0.0,0.0,0.499,0.363,0.102,-0.036,-0.37,0.0,0.102,-0.046,-0.446,-0.01,1.111,-0.0,0.1,0.0
61.049,0.0,0.0,0.494,0.363,0.094,-0.032,-0.326,0.869,0.099,-0.045,-0.441,-0.003,1.114,-0.0,0.1,0.0
61.108,0.0,0.0,0.488,0.363,0.106,-0.034,-0.345,-0.374,0.093,-0.043,-0.434,0.002,1.13,0.0,0.1,0.0
61.172,0.0,0.0,0.48,0.363,0.106,-0.034,-0.345,0.0,0.096,-0.041,-0.427,0.008,1.114,0.01,0.1,0.0
61.207,0.0,0.0,0.468,0.363,0.106,-0.034,-0.345,0.0,0.098,-0.04,-0.42,0.012,1.12,-0.01,0.1,0.0
61.281,0.0,0.0,0.457,0.363,0.108,-0.036,-0.37,-0.495,0.099,-0.039,-0.414,0.014,1.11,-0.0,0.1,0.0
61.32,0.0,0.0,0.448,0.363,0.101,-0.034,-0.35,0.389,0.1,-0.038,-0.409,0.014,1.098,-0.01,0.1,0.0
61.344,0.0,0.0,0.441,0.363,0.101,-0.034,-0.35,0.0,0.097,-0.038,-0.404,0.013,1.089,-0.01,0.1,0.0
61.423,0.0,0.0,0.437,0.363,0.112,-0.032,-0.327,0.465,0.096,-0.037,-0.399,0.013,1.098,0.0,0.1,0.0
61.462,0.0,0.0,0.432,0.363,0.112,-0.032,-0.327,0.0,0.1,-0.036,-0.392,0.015,1.103,0.0,0.1,0.0
61.494,0.0,0.0,0.42,0.363,0.112,-0.032,-0.327,0.0,0.103,-0.035,-0.386,0.016,1.115,-0.0,0.1,0.0
61.541,0.0,0.0,0.411,0.363,0.12,-0.034,-0.35,-0.465,0.104,-0.035,-0.38,0.016,1.101,-0.01,0.1,0.0
61.636,0.0,0.0,0.403,0.363,0.114,-0.036,-0.37,-0.389,0.109,-0.034,-0.376,0.016,1.118,-0.01,0.1,0.0
61.683,0.0,0.0,0.396,0.363,0.114,-0.036,-0.37,0.0,0.109,-0.035,-0.374,0.014,1.116,-0.01,0.1,0.0
61.725,0.0,0.0,0.395,0.363,0.106,-0.036,-0.368,0.038,0.108,-0.035,-0.372,0.011,1.103,-0.0,0.1,0.0
61.783,0.0,0.0,0.394,0.363,0.106,-0.036,-0.368,0.0,0.105,-0.036,-0.371,0.008,1.096,0.0,0.1,0.0
61.856,0.0,0.0,0.395,0.363,0.102,-0.032,-0.327,0.815,0.103,-0.036,-0.37,0.007,1.099,-0.0,0.1,0.0
61.918,0.0,0.0,0.395,0.363,0.102,-0.032,-0.327,0.0,0.1,-0.035,-0.366,0.007,1.108,-0.0,0.1,0.0
61.985,0.0,0.0,0.393,0.363,0.129,-0.033,-0.336,-0.189,0.098,-0.035,-0.363,0.007,1.099,-0.01,0.1,0.0
62.034,0.0,0.0,0.389,0.363,0.118,-0.035,-0.356,-0.4,0.11,-0.033,-0.359,0.012,1.092,-0.01,0.1,0.0
62.057,0.0,0.0,0.376,0.363,0.118,-0.035,-0.356,0.0,0.111,-0.033,-0.357,0.011,1.094,-0.0,0.1,0.0
62.169,0.0,0.0,0.374,0.363,0.113,-0.06,-0.645,-5.778,0.111,-0.034,-0.356,0.01,1.1,0.01,0.1,0.0
62.218,0.0,0.0,0.373,0.363,0.108,-0.034,-0.35,5.903,0.109,-0.038,-0.374,-0.004,1.091,-0.0,0.1,0.0
62.315,0.0,0.0,0.402,0.363,0.145,-0.06,-0.638,-5.757,0.106,-0.038,-0.373,-0.002,1.102,-0.01,0.1,0.0
62.365,0.0,0.0,0.401,0.363,0.145,-0.06,-0.638,0.0,0.121,-0.039,-0.389,-0.005,1.09,-0.01,0.1,0.0
62.405,0.0,0.0,0.413,0.363,0.145,-0.06,-0.638,0.0,0.129,-0.042,-0.404,-0.008,1.098,-0.0,0.1,0.0
62.445,0.0,0.0,0.43,0.363,0.106,-0.032,-0.327,6.221,0.133,-0.044,-0.419,-0.012,1.094,-0.0,0.1,0.0
62.569,0.0,0.0,0.448,0.363,0.097,-0.032,-0.327,0.0,0.117,-0.043,-0.415,-0.009,1.099,-0.0,0.1,0.0
62.604,0.0,0.0,0.45,0.363,0.097,-0.032,-0.327,0.0,0.105,-0.043,-0.411,-0.006,1.097,-0.01,0.1,0.0
62.643,0.0,0.0,0.45,0.363,0.117,-0.061,-0.653,-6.515,0.098,-0.041,-0.406,-0.002,1.088,-0.01,0.1,0.0
62.743,0.0,0.0,0.446,0.363,0.137,-0.06,-0.642,0.22,0.104,-0.044,-0.422,-0.008,1.077,-0.01,0.1,0.0
62.825,0.0,0.0,0.464,0.363,0.116,-0.032,-0.327,6.295,0.116,-0.045,-0.435,-0.008,1.078,-0.0,0.1,0.0
62.855,0.0,0.0,0.474,0.363,0.116,-0.032,-0.327,0.0,0.113,-0.043,-0.429,-0.0,1.083,0.0,0.1,0.0
62.96,0.0,0.0,0.464,0.363,0.103,-0.036,-0.37,-0.853,0.111,-0.041,-0.422,0.005,1.103,-0.0,0.1,0.0
63.006,0.0,0.0,0.455,0.363,0.124,-0.033,-0.336,0.664,0.104,-0.041,-0.418,0.005,1.109,-0.01,0.1,0.0
63.04,0.0,0.0,0.454,0.363,0.124,-0.033,-0.336,0.0,0.11,-0.039,-0.411,0.011,1.101,-0.01,0.1,0.0
63.105,0.0,0.0,0.44,0.363,0.124,-0.033,-0.336,0.0,0.114,-0.037,-0.404,0.014,1.092,-0.01,0.1,0.0
63.16,0.0,0.0,0.429,0.363,0.117,-0.032,-0.327,0.189,0.116,-0.037,-0.398,0.015,1.101,-0.0,0.1,0.0
63.216,0.0,0.0,0.42,0.363,0.085,-0.032,-0.326,0.02,0.114,-0.036,-0.392,0.015,1.094,0.0,0.1,0.0
63.259,0.0,0.0,0.413,0.363,0.085,-0.032,-0.326,0.0,0.098,-0.037,-0.388,0.009,1.091,0.0,0.1,0.0
63.4,0.0,0.0,0.419,0.363,0.121,-0.033,-0.335,-0.19,0.089,-0.037,-0.383,0.007,1.109,-0.01,0.1,0.0
63.448,0.0,0.0,0.419,0.363,0.124,-0.035,-0.355,-0.393,0.101,-0.035,-0.378,0.012,1.104,-0.0,0.1,0.0
63.471,0.0,0.0,0.404,0.363,0.124,-0.035,-0.355,0.0,0.109,-0.034,-0.374,0.015,1.104,-0.0,0.1,0.0
63.533,0.0,0.0,0.394,0.363,0.092,-0.032,-0.327,0.563,0.114,-0.034,-0.371,0.015,1.1,0.0,0.1,0.0
63.565,0.0,0.0,0.388,0.363,0.092,-0.032,-0.327,0.0,0.101,-0.035,-0.368,0.01,1.1,0.01,0.1,0.0
63.616,0.0,0.0,0.393,0.363,0.115,-0.035,-0.356,-0.585,0.094,-0.035,-0.364,0.007,1.083,0.0,0.1,0.0
63.733,0.0,0.0,0.393,0.363,0.129,-0.061,-0.653,-5.927,0.101,-0.034,-0.362,0.009,1.085,-0.01,0.1,0.0
63.831,0.0,0.0,0.386,0.363,0.119,-0.061,-0.656,-0.067,0.111,-0.038,-0.379,0.0,1.075,-0.0,0.1,0.0
63.865,0.0,0.0,0.405,0.363,0.119,-0.061,-0.656,0.0,0.111,-0.041,-0.397,-0.009,1.088,-0.0,0.1,0.0
63.956,0.0,0.0,0.43,0.363,0.103,-0.031,-0.311,6.899,0.112,-0.044,-0.415,-0.015,1.111,0.0,0.1,0.0
64.104,0.0,0.0,0.454,0.363,0.12,-0.033,-0.335,-0.491,0.104,-0.042,-0.409,-0.008,1.092,-0.01,0.1,0.0
64.182,0.0,0.0,0.448,0.363,0.12,-0.033,-0.335,0.0,0.108,-0.04,-0.404,0.001,1.091,0.0,0.1,0.0
64.241,0.0,0.0,0.436,0.363,0.115,-0.032,-0.327,0.17,0.111,-0.038,-0.399,0.006,1.084,-0.0,0.1,0.0
64.327,0.0,0.0,0.427,0.363,0.097,-0.033,-0.338,-0.231,0.11,-0.037,-0.393,0.009,1.077,0.0,0.1,0.0
64.416,0.0,0.0,0.419,0.363,0.097,-0.033,-0.338,0.0,0.101,-0.038,-0.389,0.007,1.093,-0.01,0.1,0.0
64.445,0.0,0.0,0.42,0.363,0.097,-0.033,-0.338,0.0,0.096,-0.037,-0.386,0.007,1.085,-0.01,0.1,0.0
64.576,0.0,0.0,0.418,0.363,0.128,-0.06,-0.64,-6.029,0.094,-0.037,-0.382,0.007,1.094,0.0,0.1,0.0
64.625,0.0,0.0,0.414,0.363,0.124,-0.058,-0.616,0.484,0.106,-0.039,-0.397,0.001,1.089,-0.0,0.1,0.0
64.668,0.0,0.0,0.428,0.363,0.124,-0.058,-0.616,0.0,0.111,-0.042,-0.41,-0.004,1.108,0.0,0.1,0.0
64.767,0.0,0.0,0.444,0.363,0.101,-0.034,-0.35,5.311,0.114,-0.044,-0.423,-0.009,1.105,-0.01,0.1,0.0
64.808,0.0,0.0,0.461,0.363,0.114,-0.036,-0.37,-0.389,0.105,-0.043,-0.42,-0.005,1.088,-0.01,0.1,0.0
64.894,0.0,0.0,0.46,0.363,0.114,-0.036,-0.37,0.0,0.106,-0.041,-0.416,0.001,1.095,0.0,0.1,0.0
64.963,0.0,0.0,0.452,0.363,0.128,-0.057,-0.601,-4.622,0.107,-0.04,-0.412,0.004,1.09,0.01,0.1,0.0
65.027,0.0,0.0,0.446,0.363,0.074,-0.034,-0.347,5.08,0.113,-0.042,-0.423,-0.0,1.081,0.01,0.1,0.0
65.057,0.0,0.0,0.458,0.363,0.074,-0.034,-0.347,0.0,0.092,-0.043,-0.42,-0.003,1.075,-0.0,0.1,0.0
65.128,0.0,0.0,0.466,0.363,0.132,-0.033,-0.335,0.224,0.081,-0.042,-0.416,-0.002,1.067,-0.01,0.1,0.0
65.206,0.0,0.0,0.467,0.363,0.132,-0.033,-0.335,0.0,0.101,-0.038,-0.408,0.011,1.086,-0.01,0.1,0.0
65.244,0.0,0.0,0.441,0.363,0.103,-0.034,-0.35,-0.294,0.113,-0.036,-0.401,0.017,1.079,-0.0,0.1,0.0
65.372,0.0,0.0,0.423,0.363,0.104,-0.034,-0.346,0.076,0.105,-0.037,-0.397,0.014,1.093,0.0,0.1,0.0
65.423,0.0,0.0,0.424,0.363,0.109,-0.036,-0.371,-0.49,0.102,-0.037,-0.392,0.012,1.075,-0.0,0.1,0.0
65.486,0.0,0.0,0.421,0.363,0.109,-0.036,-0.371,0.0,0.102,-0.037,-0.389,0.011,1.092,-0.01,0.1,0.0
65.576,0.0,0.0,0.417,0.363,0.121,-0.035,-0.356,0.294,0.103,-0.037,-0.387,0.011,1.094,-0.01,0.1,0.0
65.625,0.0,0.0,0.414,0.363,0.106,-0.031,-0.311,0.905,0.108,-0.036,-0.383,0.012,1.081,0.0,0.1,0.0
65.677,0.0,0.0,0.406,0.363,0.106,-0.031,-0.311,0.0,0.104,-0.035,-0.377,0.012,1.105,0.01,0.1,0.0
65.776,0.0,0.0,0.401,0.363,0.1,-0.059,-0.63,-6.388,0.102,-0.035,-0.371,0.012,1.114,-0.0,0.1,0.0
65.842,0.0,0.0,0.395,0.363,0.136,-0.033,-0.335,5.897,0.098,-0.039,-0.388,-0.002,1.081,-0.01,0.1,0.0
65.886,0.0,0.0,0.423,0.363,0.136,-0.033,-0.335,0.0,0.113,-0.036,-0.382,0.008,1.067,-0.01,0.1,0.0
65.944,0.0,0.0,0.405,0.363,0.12,-0.062,-0.667,-6.64,0.121,-0.035,-0.377,0.013,1.059,-0.0,0.1,0.0
66.028,0.0,0.0,0.393,0.363,0.114,-0.032,-0.326,6.83,0.118,-0.04,-0.395,-0.002,1.05,0.0,0.1,0.0
66.057,0.0,0.0,0.422,0.363,0.114,-0.032,-0.326,0.0,0.113,-0.039,-0.391,0.001,1.064,0.0,0.1,0.0
66.125,0.0,0.0,0.418,0.363,0.112,-0.035,-0.356,-0.605,0.111,-0.038,-0.386,0.004,1.053,-0.0,0.1,0.0
66.224,0.0,0.0,0.413,0.363,0.133,-0.061,-0.654,-5.953,0.109,-0.037,-0.384,0.005,1.082,-0.01,0.1,0.0
66.318,0.0,0.0,0.41,0.363,0.093,-0.032,-0.326,6.557,0.117,-0.04,-0.4,-0.003,1.086,0.01,0.1,0.0
66.371,0.0,0.0,0.429,0.363,0.093,-0.032,-0.326,0.0,0.103,-0.04,-0.396,-0.002,1.075,0.01,0.1,0.0
66.453,0.0,0.0,0.431,0.363,0.113,-0.059,-0.632,-6.12,0.096,-0.039,-0.392,-0.0,1.073,-0.0,0.1,0.0
66.486,0.0,0.0,0.429,0.363,0.113,-0.059,-0.632,0.0,0.1,-0.042,-0.407,-0.007,1.073,-0.0,0.1,0.0
66.628,0.0,0.0,0.447,0.363,0.11,-0.035,-0.356,5.523,0.103,-0.044,-0.422,-0.011,1.072,-0.0,0.1,0.0
66.677,0.0,0.0,0.466,0.363,0.11,-0.035,-0.356,0.0,0.103,-0.042,-0.418,-0.004,1.09,-0.0,0.1,0.0
66.745,0.0,0.0,0.458,0.363,0.102,-0.034,-0.346,0.189,0.103,-0.041,-0.414,0.002,1.092,0.0,0.1,0.0
66.787,0.0,0.0,0.45,0.363,0.102,-0.034,-0.346,0.0,0.1,-0.04,-0.409,0.005,1.089,0.0,0.1,0.0
66.814,0.0,0.0,0.445,0.363,0.129,-0.06,-0.639,-5.853,0.098,-0.039,-0.404,0.007,1.084,-0.0,0.1,0.0
66.857,0.0,0.0,0.439,0.363,0.129,-0.06,-0.639,0.0,0.109,-0.041,-0.418,0.001,1.09,-0.01,0.1,0.0
66.943,0.0,0.0,0.452,0.363,0.112,-0.034,-0.349,5.795,0.115,-0.043,-0.431,-0.004,1.081,-0.01,0.1,0.0
67.032,0.0,0.0,0.468,0.363,0.106,-0.032,-0.324,0.507,0.11,-0.042,-0.426,0.001,1.089,-0.0,0.1,0.0
67.081,0.0,0.0,0.462,0.363,0.106,-0.032,-0.324,0.0,0.105,-0.041,-0.419,0.005,1.101,-0.0,0.1,0.0
67.145,0.0,0.0,0.455,0.363,0.101,-0.032,-0.327,-0.06,0.103,-0.04,-0.412,0.008,1.089,0.0,0.1,0.0
67.216,0.0,0.0,0.446,0.363,0.101,-0.032,-0.327,0.0,0.099,-0.039,-0.406,0.009,1.092,-0.0,0.1,0.0
67.264,0.0,0.0,0.44,0.363,0.119,-0.034,-0.35,-0.465,0.097,-0.038,-0.4,0.011,1.083,-0.01,0.1,0.0
67.345,0.0,0.0,0.433,0.363,0.114,-0.035,-0.356,-0.12,0.104,-0.036,-0.394,0.014,1.07,-0.01,0.1,0.0
67.379,0.0,0.0,0.421,0.363,0.114,-0.035,-0.356,0.0,0.106,-0.036,-0.39,0.014,1.08,-0.0,0.1,0.0
67.415,0.0,0.0,0.415,0.363,0.117,-0.058,-0.615,-5.17,0.107,-0.036,-0.386,0.014,1.067,0.0,0.1,0.0
67.465,0.0,0.0,0.41,0.363,0.117,-0.058,-0.615,0.0,0.109,-0.039,-0.4,0.003,1.09,0.0,0.1,0.0
67.585,0.0,0.0,0.43,0.363,0.114,-0.033,-0.335,5.584,0.109,-0.042,-0.413,-0.005,1.108,-0.01,0.1,0.0
67.636,0.0,0.0,0.449,0.363,0.118,-0.036,-0.37,-0.683,0.108,-0.04,-0.408,0.001,1.099,-0.01,0.1,0.0
67.667,0.0,0.0,0.441,0.363,0.118,-0.036,-0.37,0.0,0.11,-0.039,-0.405,0.005,1.098,-0.01,0.1,0.0
67.716,0.0,0.0,0.435,0.363,0.121,-0.033,-0.339,0.607,0.11,-0.039,-0.402,0.007,1.083,0.0,0.1,0.0
67.756,0.0,0.0,0.43,0.363,0.121,-0.033,-0.339,0.0,0.113,-0.037,-0.396,0.01,1.099,-0.0,0.1,0.0
67.805,0.0,0.0,0.421,0.363,0.121,-0.033,-0.339,0.0,0.114,-0.037,-0.391,0.012,1.097,0.0,0.1,0.0
67.858,0.0,0.0,0.414,0.363,0.104,-0.032,-0.326,0.266,0.114,-0.036,-0.386,0.012,1.077,-0.0,0.1,0.0
67.907,0.0,0.0,0.407,0.363,0.118,-0.033,-0.335,-0.19,0.107,-0.036,-0.382,0.01,1.057,-0.0,0.1,0.0
68.004,0.0,0.0,0.406,0.363,0.127,-0.061,-0.654,-6.361,0.109,-0.035,-0.377,0.011,1.074,-0.01,0.1,0.0
68.107,0.0,0.0,0.399,0.363,0.094,-0.032,-0.327,6.532,0.114,-0.039,-0.393,0.0,1.076,0.0,0.1,0.0
68.162,0.0,0.0,0.421,0.363,0.094,-0.032,-0.327,0.0,0.102,-0.039,-0.39,0.0,1.079,0.0,0.1,0.0
68.223,0.0,0.0,0.423,0.363,0.097,-0.034,-0.35,-0.465,0.096,-0.038,-0.386,0.001,1.082,0.0,0.1,0.0
68.276,0.0,0.0,0.421,0.363,0.097,-0.034,-0.35,0.0,0.094,-0.038,-0.383,0.003,1.085,-0.01,0.1,0.0
68.325,0.0,0.0,0.418,0.363,0.119,-0.035,-0.356,-0.12,0.093,-0.037,-0.381,0.005,1.071,-0.01,0.1,0.0
68.373,0.0,0.0,0.414,0.363,0.119,-0.035,-0.356,0.0,0.102,-0.035,-0.377,0.009,1.085,-0.01,0.1,0.0
68.425,0.0,0.0,0.403,0.363,0.103,-0.034,-0.345,0.231,0.107,-0.035,-0.374,0.011,1.088,-0.0,0.1,0.0
68.458,0.0,0.0,0.396,0.363,0.103,-0.034,-0.345,0.0,0.102,-0.035,-0.371,0.01,1.098,-0.0,0.1,0.0
68.513,0.0,0.0,0.396,0.363,0.125,-0.058,-0.615,-5.401,0.1,-0.035,-0.369,0.009,1.102,0.0,0.1,0.0
68.558,0.0,0.0,0.394,0.363,0.125,-0.058,-0.615,0.0,0.109,-0.038,-0.383,0.001,1.117,0.0,0.1,0.0
68.633,0.0,0.0,0.41,0.363,0.133,-0.061,-0.653,-0.759,0.113,-0.041,-0.397,-0.005,1.09,-0.01,0.1,0.0
68.675,0.0,0.0,0.428,0.363,0.133,-0.061,-0.653,0.0,0.119,-0.043,-0.414,-0.01,1.084,-0.01,0.1,0.0
68.712,0.0,0.0,0.447,0.363,0.127,-0.061,-0.654,-0.037,0.122,-0.045,-0.43,-0.014,1.064,-0.01,0.1,0.0
68.746,0.0,0.0,0.466,0.363,0.127,-0.061,-0.654,0.0,0.12,-0.048,-0.445,-0.018,1.081,-0.0,0.1,0.0
68.853,0.0,0.0,0.488,0.363,0.106,-0.031,-0.311,6.871,0.12,-0.05,-0.46,-0.02,1.076,0.0,0.1,0.0
68.958,0.0,0.0,0.507,0.363,0.106,-0.033,-0.338,-0.551,0.11,-0.047,-0.452,-0.01,1.088,-0.0,0.1,0.0
68.988,0.0,0.0,0.499,0.363,0.106,-0.033,-0.338,0.0,0.104,-0.045,-0.446,-0.003,1.097,-0.01,0.1,0.0
69.096,0.0,0.0,0.49,0.363,0.136,-0.06,-0.638,-5.99,0.102,-0.043,-0.439,0.003,1.083,-0.0,0.1,0.0
69.165,0.0,0.0,0.481,0.363,0.106,-0.034,-0.349,5.775,0.114,-0.044,-0.45,0.001,1.076,0.0,0.1,0.0
69.227,0.0,0.0,0.489,0.363,0.106,-0.034,-0.349,0.0,0.107,-0.043,-0.443,0.004,1.064,0.0,0.1,0.0
69.263,0.0,0.0,0.483,0.363,0.101,-0.032,-0.326,0.466,0.104,-0.042,-0.437,0.007,1.077,-0.0,0.1,0.0
69.315,0.0,0.0,0.476,0.363,0.127,-0.058,-0.624,-5.965,0.099,-0.041,-0.429,0.01,1.064,-0.01,0.1,0.0
69.368,0.0,0.0,0.467,0.363,0.127,-0.058,-0.624,0.0,0.109,-0.043,-0.439,0.004,1.077,-0.01,0.1,0.0
69.415,0.0,0.0,0.477,0.363,0.137,-0.061,-0.652,-0.549,0.114,-0.045,-0.45,-0.0,1.064,-0.01,0.1,0.0
